Mobile Name,Rating,Number of Ratings,Storage,Screen,Camera,Battery,Type of Processor,Price
,,,,,,,,
"Redmi K20 Pro (Flame Red, 128 GB)",4.5,"57,285  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.26,999"
,,,,,,,,
"Mi Mix 2 (Black, 128 GB)",4.4,"4,509  ",6 GB RAM | 128 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,3400 mAh Li-polymer Battery,Qualcomm Snapdragon 835 Octa Core 2.5 GHz Processor,"Rs.19,999"
,,,,,,,,
"Redmi K20 Pro (Carbon Black, 128 GB)",4.5,"57,285  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.26,999"
,,,,,,,,
"Mi A3 (More Than White, 64 GB)",4.3,"30,917  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.46 cm (6.088 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.13,999"
,,,,,,,,
"Redmi K20 Pro (Pearl White, 128 GB)",4.5,"57,285  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.26,999"
,,,,,,,,
"Mi A3 (Not just Blue, 64 GB)",4.3,"30,917  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.46 cm (6.088 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.13,999"
,,,,,,,,
"Mi A3 (More Than White, 128 GB)",4.3,"10,171  ",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.44 cm (6.08 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.14,999"
,,,,,,,,
"Mi A3 (Not just Blue, 128 GB)",4.3,"10,171  ",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.44 cm (6.08 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.16,544"
,,,,,,,,
"Redmi Note 7 Pro (Space Black, 64 GB)",4.5,"2,86,352  ",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.12,999"
,,,,,,,,
"Redmi K20 (Carbon Black, 64 GB)",4.5,"46,017  ",6 GB RAM | 64 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"Rs.21,999"
,,,,,,,,
"Redmi K20 Pro (Flame Red, 256 GB)",4.5,"12,700  ",8 GB RAM | 256 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.29,999"
,,,,,,,,
"Redmi Note 8 (Moonlight White, 128 GB)",4.4,"10,270  ",6 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.15,999"
,,,,,,,,
"Redmi Note 8 (Space Black, 128 GB)",4.4,"10,270  ",6 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.14,989"
,,,,,,,,
"Redmi Note 8 (Neptune Blue, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
"Redmi Note 8 (Space Black, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
"Redmi Note 8 (Neptune Blue, 128 GB)",4.4,"10,270  ",6 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.15,866"
,,,,,,,,
"Redmi Note 8 (Moonlight White, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
"Redmi Note 8 (Cosmic Purple, 64 GB)",4.4,"13,687  ",4 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Display,48MP Rear Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.13,999"
,,,,,,,,
"Redmi K20 (Glacier Blue, 128 GB)",4.5,"46,017  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 730 Processor,"Rs.24,999"
,,,,,,,,
"Mi A2 (Red, 128 GB)",4.1,"2,496  ",6 GB RAM | 128 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.13,999"
,,,,,,,,
"Redmi Note 7 Pro (Space Black, 128 GB)",4.5,"2,86,352  ",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.13,999"
,,,,,,,,
"Mi A3 (Kind of Grey, 128 GB)",4.3,"10,171  ",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.44 cm (6.08 inch) HD+ Display,48MP + 8MP + 2MP | 32MP Front Camera,4030 mAh Battery,Qualcomm Snapdragon 665 Processor,"Rs.17,475"
,,,,,,,,
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)",4.5,"2,86,352  ",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.13,999"
,,,,,,,,
"Redmi K20 Pro (Carbon Black, 256 GB)",4.5,"12,700  ",8 GB RAM | 256 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.29,999"
,,,,,,,,
"Redmi Note 7S (Sapphire Blue, 64 GB)",4.4,"3,96,478  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.11,999"
,,,,,,,,
"Mi 10 (Twilight Grey, 256 GB)",4.9,8  ,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera | 20MP Front Camera,4780 mAh Battery,Qualcomm Spectra 480 ISP Processor,"Rs.51,999"
,,,,,,,,
"Mi 10 (Coral Green, 128 GB)",4.9,8  ,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera | 20MP Front Camera,4780 mAh Battery,Qualcomm Spectra 480 ISP Processor,"Rs.49,840"
,,,,,,,,
"Mi A2 (Black, 64 GB)",4.2,"32,340  ",4 GB RAM | 64 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.10,599"
,,,,,,,,
"Redmi Note 6 Pro (Blue, 64 GB)",4.5,"6,12,279  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.9 cm (6.26 inch) Full HD+ Display,12MP + 5MP | 20MP + 2MP Dual Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.15,990"
,,,,,,,,
"MI3 (Metallic Grey, 16 GB)",4.4,"14,985  ",2 GB RAM | 16 GB ROM,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 2MP Front Camera,3050 mAh Li-Ion Battery,qualcomm Qualcomm Snapdragon 800 8274AB Quad Core 2.3GHz Processor,"Rs.13,999"
,,,,,,,,
"Redmi 8 (Onyx Black, 64 GB)",4.4,"5,55,751  ",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.9,499"
,,,,,,,,
"Redmi 8 (Sapphire Blue, 64 GB)",4.4,"5,55,751  ",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.9,499"
,,,,,,,,
"Redmi 8 (Emerald Green, 64 GB)",4.4,"5,55,751  ",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.9,499"
,,,,,,,,
"Redmi 8 (Ruby Red, 64 GB)",4.4,"5,55,751  ",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.9,499"
,,,,,,,,
"Redmi K20 Pro (Glacier Blue, 128 GB)",4.5,"57,286  ",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.26,999"
,,,,,,,,
"Redmi Note 8 (Neptune Blue, 32 GB)",4.4,348  ,3 GB RAM | 32 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.10,978"
,,,,,,,,
"Redmi Note 9 Pro (Aurora Blue, 64 GB)",4.2,319  ,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"Rs.12,999"
,,,,,,,,
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",4.8,12  ,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"Rs.14,999"
,,,,,,,,
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4.8,12  ,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,5020 mAh Battery,Qualcomm® Snapdragon™ 720G Processor,"Rs.14,999"
,,,,,,,,
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)",4.5,"2,86,352  ",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.12,999"
,,,,,,,,
"Redmi Note 7 Pro (Space Black, 64 GB)",4.5,"8,06,673  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.10,999"
,,,,,,,,
"Redmi Note 5 Pro (Gold, 64 GB)",4.5,"11,57,300  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.12,999"
,,,,,,,,
"Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,"2,86,352  ",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.12,999"
,,,,,,,,
"Redmi Note 5 (Black, 64 GB)",4.4,"3,50,989  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"Rs.11,999"
,,,,,,,,
"Redmi 8A (Midnight Black, 32 GB)",4.4,"1,43,088  ",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.6,999"
,,,,,,,,
"Mi A2 (Gold, 128 GB)",4.1,"2,496  ",6 GB RAM | 128 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.13,999"
,,,,,,,,
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)",4.5,"8,06,673  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.10,999"
,,,,,,,,
"Redmi K20 Pro (Glacier Blue, 256 GB)",4.5,"12,700  ",8 GB RAM | 256 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,"Rs.29,999"
,,,,,,,,
"Redmi Note 4 (Black, 32 GB)",4.4,"6,38,611  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"Rs.10,999"
,,,,,,,,
"Redmi Note 4 (Dark Grey, 32 GB)",4.4,"6,38,611  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"Rs.10,999"
,,,,,,,,
"Redmi Y2 (Rose Gold, 64 GB)",4.4,"25,858  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD+ Display,12MP + 5MP | 16MP Front Camera,3080 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"Rs.8,499"
,,,,,,,,
"Redmi Note 7 (Onyx Black, 32 GB)",4.4,"1,30,053  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.9,999"
,,,,,,,,
"Redmi Y3 (Elegant Blue, 64 GB)",4.4,"2,905  ",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.9,832"
,,,,,,,,
"Redmi Y3 (Prime Black, 32 GB)",4.3,"18,919  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.8,090"
,,,,,,,,
"Redmi Y3 (Elegant Blue, 32 GB)",4.3,"18,919  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.8,369"
,,,,,,,,
"Redmi 7A (Matte Black, 32 GB)",4.3,"3,62,578  ",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,"Rs.6,699"
,,,,,,,,
"Redmi 7 (Eclipse Black, 32 GB)",4.3,"13,109  ",2 GB RAM | 32 GB ROM,15.9 cm (6.26 inch) Display,12MP Rear Camera,4000 mAh Battery,12 Months,"Rs.7,078"
,,,,,,,,
"Redmi Note 7S (Sapphire Blue, 32 GB)",4.4,"2,93,587  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.9,999"
,,,,,,,,
