Mobile Name,Rating,Number of Ratings,Storage,Screen,Camera,Battery,Type of Processor,Price
"Redmi Go (Blue, 8 GB)",4.3,"1,59,989  ",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.4,499"
,,,,,,,,
"Redmi 5 (Lake Blue, 64 GB)",4.3,"4,555  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,14.48 cm (5.7 inch) HD Display,12MP Rear Camera | 5MP Front Camera,3300 mAh Battery,1 Year Brand Warranty,"Rs.8,299"
,,,,,,,,
"Redmi 5 (Black, 64 GB)",4.3,"4,555  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,14.48 cm (5.7 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,3300 mAh Battery,Qualcomm Snapdragon 450 Processor,"Rs.8,999"
,,,,,,,,
"Redmi Go (Blue, 8 GB)",4.3,"1,59,989  ",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Li Polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.4,499"
,,,,,,,,
"Redmi 2 (White, 8 GB)",4.2,"86,261  ",1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,11.94 cm (4.7 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2200 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 410 MSM8916 Processor,"Rs.5,999"
,,,,,,,,
"Redmi 8A (Midnight Black, 32 GB)",4.3,"1,21,330  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.7,499"
,,,,,,,,
"Redmi Y1 (Gold, 32 GB)",4.3,"19,335  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3080 mAh Battery,Qualcomm Snapdragon 435 Processor,"Rs.8,999"
,,,,,,,,
"Redmi Y1 (Rose Gold, 32 GB)",4.3,"19,335  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3080 mAh Battery,Qualcomm Snapdragon 435 Processor,"Rs.8,699"
,,,,,,,,
"Mi 4i (Grey, 16 GB)",4.2,"79,067  ",2 GB RAM | 16 GB ROM,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3030 mAh Li-ion Polymer Battery,qualcomm 2nd-gen Snapdragon 615 64-bit octa-core Octa Core 1.7GHz Processor,"Rs.10,999"
,,,,,,,,
"Redmi 6 (Blue, 64 GB)",4.4,"5,44,019  ",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"Rs.8,499"
,,,,,,,,
"Redmi Note 8 (Moonlight White, 32 GB)",4.4,348  ,3 GB RAM | 32 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"Rs.10,930"
,,,,,,,,
"Redmi 7 (Comet Blue, 32 GB)",4.4,"6,270  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.8,290"
,,,,,,,,
"Redmi 7 (Eclipse Black, 32 GB)",4.4,"6,270  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.8,340"
,,,,,,,,
"Redmi 6 Pro (Red, 64 GB)",4.3,"9,962  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inch) Full HD+ Display,12MP + 5MP | 5MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 625 Processor,"Rs.8,989"
,,,,,,,,
"Redmi 2 Prime (Grey, 16 GB)",4.3,"1,18,208  ",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,11.94 cm (4.7 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2200 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 410 MSM8916 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 2 Prime (White, 16 GB)",4.3,"1,18,208  ",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,11.94 cm (4.7 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2200 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 410 MSM8916 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 6A (Rose Gold, 16 GB)",4.3,"51,405  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty,"Rs.5,380"
,,,,,,,,
"Redmi Note 7 Pro (Nebula Red, 64 GB)",4.5,"8,06,673  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,"Rs.10,999"
,,,,,,,,
"Redmi 6A (Rose Gold, 32 GB)",4.3,"51,405  ",2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD Display,13MP Rear Camera,3000 mAh Battery,Mediateck Processor,"Rs.5,742"
,,,,,,,,
"Redmi 6A (Blue, 32 GB)",4.3,"51,405  ",2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) HD Display,13MP Rear Camera,3000 mAh Battery,Mediateck Processor,"Rs.5,976"
,,,,,,,,
"Redmi 4 (Black, 32 GB)",4.2,"7,898  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Battery,Snapdragon 435 Processor,"Rs.9,189"
,,,,,,,,
"Redmi Y3 (Bold Red, 64 GB)",4.4,"2,905  ",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 32MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.10,290"
,,,,,,,,
"Redmi 6 (Rose Gold, 64 GB)",4.4,"5,44,019  ",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"Rs.8,499"
,,,,,,,,
"Redmi Note 5 (Black, 32 GB)",4.4,"3,49,709  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 625 Processor,"Rs.10,999"
,,,,,,,,
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)",None,None,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP | 32MP Front Camera,5020 mAh Battery,Qualcomm Snapdragon 720G Processor,"Rs.16,999"
,,,,,,,,
"Redmi 5A (Grey, 32 GB)",4.4,"5,98,921  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 5A (Grey, 16 GB)",4.5,"12,20,536  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,499"
,,,,,,,,
"Redmi 5A (Gold, 32 GB)",4.4,"5,98,921  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 5A (Rose Gold, 16 GB)",4.5,"12,20,536  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.5,999"
,,,,,,,,
"Redmi 5A (Gold, 16 GB)",4.5,"12,20,536  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.5,999"
,,,,,,,,
"Redmi 4 (Black, 16 GB)",4.2,154  ,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Battery,Snapdragon 435 Processor,"Rs.7,499"
,,,,,,,,
"Redmi 4 (Gold, 16 GB)",4.2,154  ,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Battery,Snapdragon 435 Processor,"Rs.7,499"
,,,,,,,,
"Redmi Note 6 Pro (Black, 64 GB)",4.5,"6,12,279  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.9 cm (6.26 inch) Full HD+ Display,12MP + 5MP | 20MP + 2MP Dual Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.11,349"
,,,,,,,,
"Redmi Note 4 (Gold, 64 GB)",4.4,"13,26,965  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"Rs.13,999"
,,,,,,,,
"Redmi 8A Dual (Sky White, 64 GB)",4.3,441  ,3 GB RAM | 64 GB ROM,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 439  Processor,"Rs.9,999"
,,,,,,,,
"Redmi 8A (Sunset Red, 32 GB)",4.4,"1,43,088  ",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 8A Dual (Midnight Grey, 64 GB)",4.3,441  ,3 GB RAM | 64 GB ROM,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 439  Processor,"Rs.9,999"
,,,,,,,,
"Redmi 8A Dual (Sea Blue, 64 GB)",4.3,441  ,3 GB RAM | 64 GB ROM,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 439  Processor,"Rs.9,999"
,,,,,,,,
"Mi 10 (Twilight Grey, 128 GB)",4.9,8  ,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera | 20MP Front Camera,4780 mAh Battery,Qualcomm Spectra 480 ISP Processor,"Rs.48,500"
,,,,,,,,
"Redmi Note 7 (Sapphire Blue, 64 GB)",4.5,"1,74,587  ",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.14,870"
,,,,,,,,
"Redmi 4 (Black, 64 GB)",4,"1,244  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Battery,Snapdragon 435 Processor,"Rs.11,999"
,,,,,,,,
"Redmi 4 (Gold, 32 GB)",4.2,"7,898  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Battery,Snapdragon 435 Processor,"Rs.8,999"
,,,,,,,,
"Redmi 8A (Sunset Red, 32 GB)",4.3,"1,21,330  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,"Rs.8,990"
,,,,,,,,
"Redmi Note 7 (Ruby Red, 32 GB)",4.4,"1,30,053  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.10,999"
,,,,,,,,
"Redmi Note 4 (Gold, 32 GB)",4.4,"6,38,611  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"Rs.10,999"
,,,,,,,,
"Redmi 7 (Eclipse Black, 32 GB)",4.4,"6,270  ",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.9 cm (6.26 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 632 Processor,"Rs.9,290"
,,,,,,,,
"Mi 4i (White, 16 GB)",4.2,"79,067  ",2 GB RAM | 16 GB ROM,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3030 mAh Li-ion Polymer Battery,2nd-gen Snapdragon 615 64-bit octa-core Processor,"Rs.7,990"
,,,,,,,,
"Mi A1 (Gold, 64 GB)",4.4,"4,67,119  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,12MP + 12MP | 5MP Front Camera,3080 mAh Li-polymer Battery,Qualcomm Snapdragon 625 64 bit Octa Core 2GHz Processor,"Rs.14,999"
,,,,,,,,
"Redmi 8A Dual (Sky White, 32 GB)",4.3,325  ,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) Full HD+ Display,13MP + 2MP | 8MP Dual Front Camera,5000 mAh Battery,Snapdragon 439 octa core processor Processor,"Rs.6,499"
,,,,,,,,
"Redmi 6 (Black, 32 GB)",4.4,"5,44,019  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"Rs.7,999"
,,,,,,,,
"Redmi Note 5 Pro (Blue, 64 GB)",4.5,"11,57,300  ",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,"Rs.11,501"
,,,,,,,,
"Redmi 6 (Gold, 32 GB)",4.4,"5,44,019  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"Rs.7,999"
,,,,,,,,
"Redmi 6 (Blue, 32 GB)",4.4,"5,44,019  ",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP + 5MP | 5MP Front Camera,3000 mAh Lithium-polymer Battery,2.0 GHz Mediatek P22 Octacore Processor,"Rs.7,999"
,,,,,,,,
"Mi A2 (Black, 128 GB)",4.1,"2,496  ",6 GB RAM | 128 GB ROM,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,"Rs.13,999"
,,,,,,,,
"Redmi 3S (Gold, 16 GB)",4.3,"2,11,788  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 430 64-bit Octa Core 1.4GHz Processor,"Rs.6,999"
,,,,,,,,
"Redmi 6A (Black, 16 GB)",4.3,"51,405  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty,"Rs.5,590"
,,,,,,,,
"Redmi 5A (Grey, 16 GB)",4.5,"12,20,536  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,499"
,,,,,,,,
"Redmi 5A (Rose Gold, 32 GB)",4.4,"5,98,921  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 5A (Gold, 32 GB)",4.4,"5,98,921  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 5A (Grey, 32 GB)",4.4,"5,98,921  ",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.6,999"
,,,,,,,,
"Redmi 5A (Rose Gold, 16 GB)",4.5,"12,20,536  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.5,999"
,,,,,,,,
"Redmi 5A (Gold, 16 GB)",4.5,"12,20,536  ",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-polymer Battery,Qualcomm Snapdragon 425 Processor,"Rs.5,999"
,,,,,,,,
"Redmi 4 (Black, 16 GB)",4.2,154  ,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Battery,Snapdragon 435 Processor,"Rs.7,499"
,,,,,,,,
"Redmi 4 (Gold, 16 GB)",4.2,154  ,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Battery,Snapdragon 435 Processor,"Rs.7,499"
